unique_id,archive_id,time,hour,visit_days,action,tps_fps,novel,card,casual,simulation,strategy,sports,puzzle,board_table,music,racing,action_rpg,command_rpg,mmorpg,shooting,gps,quiz,romance,fight,gamiew_game_id,genre,cost
qpvf314bru0h1olyrya09newt,280330,2020-06-08 23:56:32,23,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,action_rpg,0
qpvf314bru0h1olyrya09newt,280330,2020-06-08 23:56:32,23,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,simulation,0
qpvf314bru0h1olyrya09newt,280330,2020-06-08 23:56:32,23,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,command_rpg,0
qtcxah53d1n612ykcn7inrv9d,328614,2020-06-08 07:10:47,07,,,,,,,,,,,,,,,,,,,,,,58,simulation,-1
qtcxah53d1n612ykcn7inrv9d,328614,2020-06-08 07:10:47,07,,,,,,,,,,,,,,,,,,,,,,58,command_rpg,-1
qvywgszcsvyinngy8owuj0n7,24521,2020-06-08 12:50:23,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,mmorpg,0
qvywgszcsvyinngy8owuj0n7,24521,2020-06-08 12:50:23,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,gps,0
qvywgszcsvyinngy8owuj0n7,24521,2020-06-08 12:50:23,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,action_rpg,0
qvywgszcsvyinngy8owuj0n7,24521,2020-06-08 12:50:23,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,simulation,0
qvywgszcsvyinngy8owuj0n7,24521,2020-06-08 12:50:23,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,command_rpg,0
qvywgszcsvyinngy8owuj0n7,331706,2020-06-08 15:14:09,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,mmorpg,0
qvywgszcsvyinngy8owuj0n7,331706,2020-06-08 15:14:09,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,gps,0
qvywgszcsvyinngy8owuj0n7,331706,2020-06-08 15:14:09,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,action_rpg,0
qvywgszcsvyinngy8owuj0n7,331706,2020-06-08 15:14:09,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,simulation,0
qvywgszcsvyinngy8owuj0n7,331706,2020-06-08 15:14:09,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,command_rpg,0
r0n0b67kjoar21j31lklf9hwi,212287,2020-06-08 17:35:56,17,,,,,,,,,,,,,,,,,,,,,,58,simulation,-1
r0n0b67kjoar21j31lklf9hwi,212287,2020-06-08 17:35:56,17,,,,,,,,,,,,,,,,,,,,,,58,command_rpg,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:07:36,10,,,,,,,,,,,,,,,,,,,,,,551,command_rpg,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:07:36,10,,,,,,,,,,,,,,,,,,,,,,551,mmorpg,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:08:08,10,,,,,,,,,,,,,,,,,,,,,,58,simulation,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:08:08,10,,,,,,,,,,,,,,,,,,,,,,58,command_rpg,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:08:46,10,,,,,,,,,,,,,,,,,,,,,,551,command_rpg,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:08:46,10,,,,,,,,,,,,,,,,,,,,,,551,mmorpg,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:09:00,10,,,,,,,,,,,,,,,,,,,,,,58,simulation,-1
r3x5gytitz59rbb0725v6cg3,200428,2020-06-08 10:09:00,10,,,,,,,,,,,,,,,,,,,,,,58,command_rpg,-1
r5h5x94f7wlkzsq1ma04ka9c,131804,2020-06-08 23:27:47,23,,,,,,,,,,,,,,,,,,,,,,58,simulation,-1
r5h5x94f7wlkzsq1ma04ka9c,131804,2020-06-08 23:27:47,23,,,,,,,,,,,,,,,,,,,,,,58,command_rpg,-1
r6j4j53r09bcz71ebyrxsan,302741,2020-06-08 16:06:02,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,mmorpg,0
r6j4j53r09bcz71ebyrxsan,302741,2020-06-08 16:06:02,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,gps,0
r6j4j53r09bcz71ebyrxsan,302741,2020-06-08 16:06:02,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,action_rpg,0
r6j4j53r09bcz71ebyrxsan,302741,2020-06-08 16:06:02,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,simulation,0
r6j4j53r09bcz71ebyrxsan,302741,2020-06-08 16:06:02,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,command_rpg,0
r6j4j53r09bcz71ebyrxsan,297907,2020-06-08 16:06:48,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,mmorpg,0
r6j4j53r09bcz71ebyrxsan,297907,2020-06-08 16:06:48,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,gps,0
r6j4j53r09bcz71ebyrxsan,297907,2020-06-08 16:06:48,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,action_rpg,0
r6j4j53r09bcz71ebyrxsan,297907,2020-06-08 16:06:48,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,simulation,0
r6j4j53r09bcz71ebyrxsan,297907,2020-06-08 16:06:48,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,command_rpg,0
r6j4j53r09bcz71ebyrxsan,304084,2020-06-08 18:17:34,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,mmorpg,0
r6j4j53r09bcz71ebyrxsan,304084,2020-06-08 18:17:34,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,gps,0
r6j4j53r09bcz71ebyrxsan,304084,2020-06-08 18:17:34,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,action_rpg,0
r6j4j53r09bcz71ebyrxsan,304084,2020-06-08 18:17:34,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,simulation,0
r6j4j53r09bcz71ebyrxsan,304084,2020-06-08 18:17:34,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,command_rpg,0
r6j4j53r09bcz71ebyrxsan,302224,2020-06-08 19:44:01,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,mmorpg,0
r6j4j53r09bcz71ebyrxsan,302224,2020-06-08 19:44:01,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,gps,0
r6j4j53r09bcz71ebyrxsan,302224,2020-06-08 19:44:01,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,action_rpg,0
r6j4j53r09bcz71ebyrxsan,302224,2020-06-08 19:44:01,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,simulation,0
r6j4j53r09bcz71ebyrxsan,302224,2020-06-08 19:44:01,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,command_rpg,0
r6j4j53r09bcz71ebyrxsan,260149,2020-06-08 19:44:10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,mmorpg,0
r6j4j53r09bcz71ebyrxsan,260149,2020-06-08 19:44:10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,gps,0
r6j4j53r09bcz71ebyrxsan,260149,2020-06-08 19:44:10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,action_rpg,0
r6j4j53r09bcz71ebyrxsan,260149,2020-06-08 19:44:10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,simulation,0
r6j4j53r09bcz71ebyrxsan,260149,2020-06-08 19:44:10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,command_rpg,0
r6j4j53r09bcz71ebyrxsan,302748,2020-06-08 19:46:46,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,,mmorpg,0
r6j4j53r09bcz71ebyrxsan,302748,2020-06-08 19:46:46,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,,gps,0
r6j4j53r09bcz71ebyrxsan,302748,2020-06-08 19:46:46,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,,action_rpg,0
r6j4j53r09bcz71ebyrxsan,302748,2020-06-08 19:46:46,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,,simulation,0
r6j4j53r09bcz71ebyrxsan,302748,2020-06-08 19:46:46,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,,command_rpg,0
r6j4j53r09bcz71ebyrxsan,302330,2020-06-08 20:25:34,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,mmorpg,0
r6j4j53r09bcz71ebyrxsan,302330,2020-06-08 20:25:34,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,gps,0
r6j4j53r09bcz71ebyrxsan,302330,2020-06-08 20:25:34,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,action_rpg,0
r6j4j53r09bcz71ebyrxsan,302330,2020-06-08 20:25:34,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,simulation,0
r6j4j53r09bcz71ebyrxsan,302330,2020-06-08 20:25:34,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,command_rpg,0
r6jgaxyb21bh2wu28pi7dz4e3,337186,2020-06-08 00:46:18,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,mmorpg,0
r6jgaxyb21bh2wu28pi7dz4e3,337186,2020-06-08 00:46:18,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,gps,0
r6jgaxyb21bh2wu28pi7dz4e3,337186,2020-06-08 00:46:18,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,action_rpg,0
r6jgaxyb21bh2wu28pi7dz4e3,337186,2020-06-08 00:46:18,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,simulation,0
r6jgaxyb21bh2wu28pi7dz4e3,337186,2020-06-08 00:46:18,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,command_rpg,0
r6jgaxyb21bh2wu28pi7dz4e3,336016,2020-06-08 00:46:45,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,mmorpg,0
r6jgaxyb21bh2wu28pi7dz4e3,336016,2020-06-08 00:46:45,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,gps,0
r6jgaxyb21bh2wu28pi7dz4e3,336016,2020-06-08 00:46:45,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,action_rpg,0
r6jgaxyb21bh2wu28pi7dz4e3,336016,2020-06-08 00:46:45,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,simulation,0
r6jgaxyb21bh2wu28pi7dz4e3,336016,2020-06-08 00:46:45,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,command_rpg,0
r6jgaxyb21bh2wu28pi7dz4e3,336316,2020-06-08 21:56:24,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,mmorpg,0
r6jgaxyb21bh2wu28pi7dz4e3,336316,2020-06-08 21:56:24,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,gps,0
r6jgaxyb21bh2wu28pi7dz4e3,336316,2020-06-08 21:56:24,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,action_rpg,0
r6jgaxyb21bh2wu28pi7dz4e3,336316,2020-06-08 21:56:24,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,simulation,0
r6jgaxyb21bh2wu28pi7dz4e3,336316,2020-06-08 21:56:24,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,command_rpg,0
r6ub4p2gxyle3mbo8uy6klxkt,280129,2020-06-08 10:06:26,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,mmorpg,0
r6ub4p2gxyle3mbo8uy6klxkt,280129,2020-06-08 10:06:26,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,gps,0
r6ub4p2gxyle3mbo8uy6klxkt,280129,2020-06-08 10:06:26,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,action_rpg,0
r6ub4p2gxyle3mbo8uy6klxkt,280129,2020-06-08 10:06:26,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,simulation,0
r6ub4p2gxyle3mbo8uy6klxkt,280129,2020-06-08 10:06:26,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,command_rpg,0
r8moo7tibsp0z9qb6g08cbi9,257772,2020-06-08 10:44:00,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mmorpg,0
r8moo7tibsp0z9qb6g08cbi9,257772,2020-06-08 10:44:00,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,gps,0
r8moo7tibsp0z9qb6g08cbi9,257772,2020-06-08 10:44:00,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,action_rpg,0
r8moo7tibsp0z9qb6g08cbi9,257772,2020-06-08 10:44:00,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,simulation,0
